timestamp,db,query,t_first, t_second
2024-12-04T14-54-45,tpch-sf100,PRAGMA tpch(10);,4.074000597000122,3.809999942779541
2024-12-04T14-54-53,tpch-sf100,PRAGMA tpch(11);,0.4590003490447998,0.3379995822906494
2024-12-04T14-54-54,tpch-sf100,PRAGMA tpch(12);,1.641000509262085,1.1990001201629639
2024-12-04T14-54-56,tpch-sf100,PRAGMA tpch(13);,8.361999988555908,12.431000232696533
2024-12-04T14-55-17,tpch-sf100,PRAGMA tpch(14);,2.2890000343322754,2.250999927520752
2024-12-04T14-55-22,tpch-sf100,PRAGMA tpch(15);,1.7780001163482666,1.5069997310638428
2024-12-04T14-55-25,tpch-sf100,PRAGMA tpch(16);,2.8440001010894775,2.86299991607666
2024-12-04T14-55-31,tpch-sf100,PRAGMA tpch(17);,2.1080102920532227,1.9990003108978271
2024-12-04T14-55-35,tpch-sf100,PRAGMA tpch(18);,13.318013906478882,15.916000127792358
2024-12-04T14-56-04,tpch-sf100,PRAGMA tpch(19);,2.8720009326934814,2.8220174312591553
2024-12-04T14-56-10,tpch-sf100,PRAGMA tpch(20);,4.34097957611084,4.235999822616577
2024-12-04T14-56-18,tpch-sf100,PRAGMA tpch(21);,8.509999752044678,8.60200047492981
2024-12-04T14-56-35,tpch-sf100,PRAGMA tpch(22);,2.9780008792877197,2.9889984130859375
